,CUST OCCU,SALARY,BPKB NAME,Harga Motor,SPOUSE SALARY,BIRTH DATE,ANGSURAN,GROUP OVERDUE DAYS
277,BURUH/PRT,3500000.0,DIFFERENT,9500000,1500000.0,57,462000,a) LANCAR
278,GURU/PENDIDIKAN,3000000.0,DIFFERENT,4200000,1750000.0,45,332000,a) LANCAR
279,PETANI,2700000.0,DIFFERENT,4300000,,37,319000,a) LANCAR
280,PEDAGANG,4000000.0,DIFFERENT,10000000,,45,362000,a) LANCAR
281,BURUH/PRT,3500000.0,DIFFERENT,4600000,1000000.0,27,308000,a) LANCAR
282,PEDAGANG,4000000.0,DIFFERENT,13500000,1700000.0,36,625000,a) LANCAR
283,PETANI,3600000.0,DIFFERENT,4200000,1600000.0,35,308000,a) LANCAR
284,PENEGAK HUKUM,5000000.0,DIFFERENT,13500000,1000000.0,54,878000,a) LANCAR
285,PEGAWAI SWASTA,5000000.0,DIFFERENT,13500000,,26,624000,a) LANCAR
286,PEDAGANG,4000000.0,DIFFERENT,5900000,1000000.0,42,362000,a) LANCAR
287,Karyawan Swasta,3500000.0,SAME,11500000,2500000.0,31,462000,a) LANCAR
288,GURU/PENDIDIKAN,3000000.0,DIFFERENT,10000000,1200000.0,31,434000,c) 1-30
289,PEGAWAI SWASTA,4000000.0,DIFFERENT,14000000,1500000.0,35,395000,c) 1-30
290,PRODUKSI,4500000.0,DIFFERENT,10500000,1000000.0,47,434000,c) 1-30
291,PEGAWAI SWASTA,5000000.0,DIFFERENT,10900000,,24,393000,c) 1-30
292,PEDAGANG,3500000.0,DIFFERENT,9800000,,36,651000,c) 1-30
293,PEGAWAI SWASTA,4000000.0,DIFFERENT,16800000,,24,515000,a) LANCAR
294,PEGAWAI SWASTA,4000000.0,DIFFERENT,8000000,,24,507000,a) LANCAR
